Date,Open,High,Low,Close
08/02/2024,"83.73","83.81","83.68","83.80"
08/01/2024,"83.70","83.78","83.66","83.73"
07/31/2024,"83.74","83.82","83.66","83.70"
07/30/2024,"83.75","83.81","83.70","83.74"
07/29/2024,"83.74","83.77","83.70","83.75"
07/26/2024,"83.75","83.76","83.69","83.72"
07/25/2024,"83.75","83.86","83.69","83.76"
07/24/2024,"83.70","83.76","83.69","83.75"
07/23/2024,"83.68","83.72","83.53","83.70"
07/22/2024,"83.73","83.75","83.65","83.68"
07/19/2024,"83.69","83.74","83.61","83.73"
07/18/2024,"83.60","83.70","83.56","83.69"
07/17/2024,"83.54","83.61","83.53","83.60"
07/16/2024,"83.58","83.61","83.53","83.54"
07/15/2024,"83.52","83.61","83.48","83.58"
07/12/2024,"83.51","83.57","83.48","83.52"
07/11/2024,"83.51","83.59","83.47","83.51"
07/10/2024,"83.49","83.57","83.47","83.51"
07/09/2024,"83.45","83.55","83.45","83.49"
07/08/2024,"83.47","83.51","83.44","83.45"
07/05/2024,"83.50","83.54","83.46","83.47"
07/04/2024,"83.52","83.61","83.47","83.50"
07/03/2024,"83.49","83.57","83.44","83.52"
07/02/2024,"83.46","83.56","83.43","83.49"
07/01/2024,"83.37","83.47","83.20","83.46"
06/28/2024,"83.46","83.55","83.33","83.37"
06/27/2024,"83.58","83.66","83.41","83.46"
06/26/2024,"83.42","83.65","83.41","83.59"
06/25/2024,"83.47","83.55","83.40","83.42"
06/24/2024,"83.56","83.58","83.42","83.47"
06/21/2024,"83.62","83.68","83.51","83.57"
06/20/2024,"83.43","83.67","83.36","83.63"
06/19/2024,"83.37","83.48","83.36","83.42"
06/18/2024,"83.49","83.58","83.33","83.36"
06/17/2024,"83.55","83.63","83.49","83.49"
06/14/2024,"83.55","83.62","83.50","83.55"
06/13/2024,"83.49","83.61","83.44","83.55"
06/12/2024,"83.61","83.67","83.44","83.49"
06/11/2024,"83.52","83.69","83.47","83.61"
06/10/2024,"83.53","83.59","83.47","83.52"
06/07/2024,"83.47","83.56","83.38","83.53"
06/06/2024,"83.41","83.51","83.19","83.47"
06/05/2024,"83.59","84.02","83.33","83.41"
